COUNTRY	ECDC
Guinea	Guinea
Guinea	Guinea
Guinea	Guinea
Guinea	Guinea
Guinea	Guinea
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Guinea-Bissau	Guinea_Bissau
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Kenya	Kenya
Lesotho	NA
Liberia	Liberia
Libya	Libya
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Madagascar	Madagascar
Malawi	Malawi
Malawi	Malawi
Malawi	Malawi
Malawi	Malawi
Mali	Mali
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
Mauritania	Mauritania
